ID,UID,MBTI,mbti,Age,gender,race,exerciseFreq,weight,workingHour,jobType,CR,denominator,molecular,feedback,repetitiveness,group,message,coachReco,messageType,msgType
1,Optional(-Kc-mnzmBW9ou4zPurBv),T,0,32,0,4,3,,,2,100,6,6,1,0,2,0,0,0,2
2,Optional(-KeDH6b4fawDM1bmvzYB),T,0,50,1,6,20,20000,,1,66.66666667,3,2,0,1,2,0,0,0,2
3,Optional(-KeSabLMG5ajsnMYkKHJ),F,1,32,0,4,2,,,1,100,8,8,1,1,1,1,0,L,0
4,Optional(-KeSdjb3cM3ujYmJXuQ9),F,1,40,1,,,,,,100,1,1,1,1,0,1,0,E,1
5,Optional(-Kf-AHgOMWo_Zuxa1i2D),,,,,,,,,,NA,0,0,0,1,0,1,0,,
6,Optional(-KfIP_yJ73c8phLMblWZ),,,,,,,,,,NA,0,0,0,1,1,1,0,,
7,Optional(-KfIfABapHHvAecexVII),,,,,,,,,,NA,0,0,0,1,1,1,0,,
8,Optional(-KfO1Sr5kG6ASl_2fh26),F,1,28,1,,2,185,2,0,100,4,4,1,1,0,1,0,E,1
9,Optional(-KfPdSAwprpsWVxM7SUw),T,0,24,0,4,0,115,1,1,60,5,3,0,1,0,1,0,L,0
10,Optional(-KfQ8q6ZhuUC76Fjael4),F,1,36,1,,2,,,1,66.66666667,3,2,0,1,2,0,0,0,2
11,Optional(-KfX4YpEV6fie-izocTC),T,0,30,0,4,4,57,2,2,86.66666667,15,13,0,1,1,1,0,E,1
12,Optional(-Kfe7QgHIhm1MzcgkdTZ),T,0,26,0,4,0,140,,1,100,2,2,0,1,0,1,0,L,0
13,Optional(-Kffb0ElJb-JXJbx3LQ6),F,1,26,0,4,1,132,1,1,66.66666667,9,6,0,1,1,1,0,L,0
14,Optional(-Kflajwk4AqlyE7WGE1N),T,0,33,0,4,3,135,1,1,0,1,0,0,1,2,0,0,0,2
15,Optional(-KfvKgJ3DBlV0qqj8tC4),T,0,28,0,4,3,65,2,2,100,5,5,0,0,0,1,0,L,0
16,Optional(-Kfz77g0ysPJIZBCRnDA),T,0,29,0,4,2,130,2,2,75,4,3,0,1,2,0,0,0,2
17,Optional(-Kg5DWW24z1l2hVVuIZX),T,0,24,1,4,3,,1,1,0,3,0,0,0,2,0,0,0,2
18,Optional(-Kg5IO4MrP9ao7Q6pX6y),T,0,25,0,4,1,154,3,,80,5,4,1,1,2,0,0,0,2
19,Optional(-Kg5LeEe9c3q2KnGg9mT),T,0,27,0,4,1,,1,1,0,3,0,1,0,2,0,0,0,2
20,Optional(-Kg5NM1ZPOrmIpFLAJBV),T,0,24,0,4,0,116,3,,NA,0,0,0,0,2,0,0,0,2
21,Optional(-Kg5W3j61Pt99IfkffpB),,,,,,,,,,NA,0,0,1,0,2,0,0,,
22,Optional(-Kg5Xij_RV6hwLqeVMHo),,,,,,,,,,NA,0,0,0,0,0,1,0,,
23,Optional(-Kg6Ckb0uVbWW347Noh_),T,0,26,1,4,1,154,1,1,40,5,2,1,1,2,0,0,0,2
